industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Apparel,Manufactured Goods,United States,New York,Manufacturing, 1-9,2023,1.0,85.6,37.0,2.0,17.4,14.7,13.4,0.0,0.0,0.8,0.0,0.0,1.3
"Other professional, scientific & tech",Professional & technical services,Brazil,Rio Grande do Sul,Service with Significant Environmental Footprint, 1-9,2022,1.0,100.5,15.5,17.7,19.2,15.8,18.3,2.8,0.0,3.5,0.0,7.3,6.6
"Other professional, scientific & tech",Professional & technical services,United Kingdom,Manchester,Service, 10-49,2023,1.0,127.0,16.4,14.9,3.0,20.6,63.9,2.5,0.0,2.6,0.0,2.7,0.0
Software publishing and SaaS platforms,"Information, communication & technology",Japan,Tokyo,Service, 50-249,2023,1.0,83.5,16.3,3.5,15.6,13.7,31.4,0.0,0.0,0.0,0.0,2.7,3.3
Food products,Retail,Netherlands The,North Holland,Wholesale/Retail, 10-49,2021,1.0,89.5,21.2,3.4,25.1,15.7,20.5,3.3,0.0,0.0,0.0,0.0,1.9
Engineering,Professional & technical services,Australia,Northern Territory,Service, 10-49,2021,1.0,89.0,27.2,11.7,4.7,19.3,19.1,2.0,0.0,0.4,0.0,4.3,1.4
Mixed Farming,"Agriculture, forestry & fishing",New Zealand,Otago Region,Manufacturing, 1-9,2022,1.0,109.5,34.0,3.4,30.4,17.6,18.6,0.0,0.0,3.5,0.0,1.8,9.0
Employment placement & HR,Administrative & support services,Switzerland,Canton of Geneva,Service, 50-249,2022,1.0,88.2,36.4,6.5,8.6,14.4,18.8,2.6,0.0,0.6,0.0,0.0,0.9
Employment placement & HR,Administrative & support services,Switzerland,Canton of Geneva,Service, 50-249,2019,2.0,83.1,31.8,9.9,5.9,14.9,15.5,1.8,0.0,0.4,0.0,2.6,0.3
Employment placement & HR,Administrative & support services,Switzerland,Canton of Geneva,Service, 50-249,2016,3.0,82.1,35.9,0.0,4.3,14.6,23.8,1.5,0.0,0.0,0.0,2.0,2.9
Other financial services,Financial & insurance activities,Australia,South Australia,Service, 50-249,2022,1.0,81.7,11.4,4.1,14.4,17.8,29.2,1.5,0.0,0.0,0.0,3.0,4.1
Remediation & other waste management,Waste Management & Recycling,Canada,Quebec,Manufacturing, 50-249,2023,1.0,95.7,17.3,3.4,33.3,14.5,23.0,2.2,0.0,0.5,0.0,1.1,9.0
Computer programming services,"Information, communication & technology",Portugal,Porto,Service, 10-49,2023,1.0,90.3,16.4,3.1,13.2,16.9,35.1,2.4,0.0,0.0,0.0,3.0,4.3
Educational support,Education,Netherlands The,North Holland,Service, 50-249,2023,1.0,87.9,14.4,27.4,5.1,11.1,25.2,0.0,0.0,0.3,0.0,4.1,0.9
Educational support,Education,Netherlands The,North Holland,Service, 10-49,2019,2.0,81.1,9.3,27.3,2.9,11.2,22.8,1.7,0.2,0.5,0.0,4.8,0.7
Personal care products,Wholesale,United States,Maine,Wholesale/Retail, 1-9,2023,1.0,81.3,17.1,4.6,23.5,15.8,9.3,3.1,0.0,6.3,0.0,1.1,1.2
Advertising & market research,Professional & technical services,United Kingdom,City of London,Service, 10-49,2024,1.0,94.2,14.3,15.9,9.6,16.4,32.9,2.0,0.0,0.0,0.0,2.8,2.0
Advertising & market research,Professional & technical services,United Kingdom,London Borough of Camden,Service, 10-49,2020,2.0,89.9,11.9,11.7,7.7,18.7,33.6,1.7,0.0,1.4,0.0,2.9,1.1
Real estate development,"Real estate, design & building",Japan,Chiba Prefecture,Service with Significant Environmental Footprint, 10-49,2022,1.0,90.1,37.0,3.7,12.8,6.5,24.8,1.1,0.0,0.9,0.0,2.9,2.4
Real estate- fee/contract,"Real estate, design & building",United Kingdom,Royal Borough of Kensington and Chelsea,Service, 1-9,2023,1.0,87.5,10.5,2.8,19.9,17.7,29.0,0.0,0.0,0.6,0.0,6.7,0.9
Equity investing - Developed Markets,Financial & insurance activities,Switzerland,Basel-Stadt,Service, 10-49,2023,1.0,107.5,11.4,33.2,9.0,19.6,25.4,2.1,0.5,0.6,0.0,5.0,4.2
Computer programming services,"Information, communication & technology",United States,Oregon,Service, 10-49,2022,1.0,80.7,16.7,6.1,4.3,15.2,31.1,2.4,0.0,3.4,0.0,1.1,0.5
Beverages,Manufactured Goods,Ireland,County Cork,Manufacturing, 10-49,2022,1.0,81.1,18.4,3.3,16.8,16.5,21.2,3.1,0.0,0.9,0.0,0.7,5.1
Other human health,Human health & social work,United States,California,Service, 50-249,2021,1.0,89.2,16.6,14.7,4.4,18.7,27.7,1.8,0.8,4.2,0.0,0.0,0.3
Other human health,Human health & social work,United States,California,Service, 50-249,2019,2.0,81.7,9.6,21.7,3.9,17.5,23.2,1.5,0.0,3.7,0.0,0.3,0.3
Other human health,Human health & social work,United States,California,Service, 50-249,2016,3.0,87.9,19.1,12.7,11.7,16.9,25.9,0.7,0.0,0.9,0.0,0.0,2.9
Other human health,Human health & social work,United States,California,Service, 10-49,2014,4.0,90.0,16.1,22.2,5.5,17.2,26.7,1.1,0.0,1.2,0.0,0.0,2.9
Arts & entertainment,"Arts, entertainment & recreation",United Kingdom,Somerset,Service, 1-9,2022,1.0,88.2,17.6,5.0,9.2,16.7,33.3,3.2,0.0,0.0,0.0,2.8,1.3
Technology-based support services,Human health & social work,United Kingdom,City of Westminster,Service, 1-9,2023,1.0,88.1,21.0,16.1,5.3,17.5,22.9,0.0,0.0,3.9,0.0,1.1,0.5
Real estate development,"Real estate, design & building",Canada,Quebec,Service with Significant Environmental Footprint, 50-249,2021,1.0,83.2,10.4,0.5,22.6,13.5,22.3,1.1,0.0,8.3,0.0,4.3,3.4
Software publishing and SaaS platforms,"Information, communication & technology",United States,Texas,Service, 10-49,2023,1.0,82.3,13.5,4.5,5.0,18.8,30.8,2.3,0.0,4.3,0.0,2.9,1.2
Advertising & market research,Professional & technical services,United Kingdom,City of Westminster,Service, 1-9,2023,1.0,95.0,23.8,14.7,3.0,13.9,29.3,3.2,0.0,2.7,0.0,4.0,0.0
"Other professional, scientific & tech",Professional & technical services,United States,Oregon,Service, 0,2022,1.0,137.1,54.7,43.2,11.4,14.8,23.9,5.1,0.0,7.6,0.0,1.7,6.1
Technology-based support services,Human health & social work,United Kingdom,Aberdeen,Service, 1-9,2024,1.0,89.4,23.8,2.2,4.8,20.7,30.5,0.0,0.0,4.4,0.0,2.7,0.3
Environmental consulting,Professional & technical services,Italy,Trentino,Service, 10-49,2022,1.0,104.3,18.5,15.8,7.4,22.9,34.3,2.2,0.0,0.0,0.0,3.0,1.0
Real estate development,"Real estate, design & building",Italy,Trentino,Wholesale/Retail, 10-49,2019,2.0,83.0,10.9,1.3,38.9,7.2,15.0,2.7,0.0,1.7,0.0,4.9,5.0
Real estate development,"Real estate, design & building",Italy,Trentino,Wholesale/Retail, 10-49,2016,3.0,85.4,11.7,0.0,32.7,13.7,20.5,0.2,0.0,1.0,0.0,5.6,2.9
Real estate development,"Real estate, design & building",Italy,Trentino,Service, 10-49,2014,4.0,90.6,18.2,0.0,28.1,16.9,24.5,0.5,0.0,0.0,0.0,2.5,2.9
Advertising & market research,Professional & technical services,United States,Michigan,Service, 10-49,2023,1.0,94.1,22.7,17.0,3.8,7.1,37.0,2.2,0.7,3.2,0.0,0.0,0.0
Other education,Education,Brazil,São Paulo,Service, 10-49,2021,1.0,93.9,48.7,10.0,4.2,15.5,8.0,2.3,0.0,2.7,0.0,2.1,0.0
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 0,2018,2.0,103.5,58.2,25.9,9.0,7.3,23.9,2.0,0.0,1.0,0.0,1.7,2.9
Food products,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 1-9,2022,1.0,91.3,12.8,3.5,34.1,14.1,20.2,2.3,0.0,0.0,0.0,4.1,3.7
Food products,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 10-49,2019,2.0,85.4,19.5,2.1,23.4,14.7,18.3,2.7,0.0,0.4,0.0,4.0,1.9
Furniture,Retail,Germany,Berlin,Wholesale/Retail, 1-9,2021,1.0,118.9,21.3,5.0,46.6,16.3,23.9,3.6,0.0,1.1,0.0,0.8,11.2
Agricultural Processing,"Agriculture, forestry & fishing",Switzerland,Canton of Vaud,Manufacturing, 10-49,2020,1.0,112.5,14.6,2.9,46.1,15.1,29.1,2.8,0.0,0.6,0.0,0.9,6.0
Animal Production,"Agriculture, forestry & fishing",Switzerland,Canton of Vaud,Manufacturing, 10-49,2018,2.0,80.3,18.6,4.5,22.2,10.9,25.2,0.5,0.0,0.6,0.0,2.1,2.9
Advertising & market research,Professional & technical services,United Kingdom,Belfast district,Service, 10-49,2024,1.0,95.8,16.9,19.1,6.8,17.1,29.9,2.7,0.0,0.0,0.0,3.0,1.2
Medical & dental practice,Human health & social work,United Kingdom,London Borough of Richmond upon Thames,Service, 250-999,2023,1.0,94.8,13.6,15.9,11.3,17.2,33.5,1.3,0.0,0.0,0.0,1.6,4.3
Medical & dental practice,Human health & social work,United Kingdom,London Borough of Richmond upon Thames,Service, 50-249,2019,2.0,92.4,12.4,18.5,8.0,14.1,35.7,2.2,0.0,0.0,0.0,1.1,1.2
Other business support,Administrative & support services,Argentina,Autonomous City Of Buenos Aires,Service with Significant Environmental Footprint, 10-49,2023,1.0,81.8,20.1,4.0,7.8,13.8,15.5,3.5,0.0,9.2,0.0,7.5,0.3
Other business support,Administrative & support services,Argentina,Autonomous City Of Buenos Aires,Service with Significant Environmental Footprint, 1-9,2019,2.0,84.7,18.6,3.3,15.4,14.4,13.9,3.6,0.0,7.6,0.0,7.5,0.6
Beverages,Manufactured Goods,United Kingdom,Wales,Manufacturing, 50-249,2021,1.0,86.9,17.9,3.0,18.6,19.3,23.8,1.8,0.0,0.0,0.0,2.2,5.9
Waste collection,Waste Management & Recycling,Peru,Lima,Manufacturing, 10-49,2021,1.0,85.6,16.6,0.2,34.8,13.3,15.4,1.3,0.0,1.2,0.0,2.4,3.7
Waste collection,Waste Management & Recycling,Peru,Lima,Manufacturing, 1-9,2018,2.0,82.9,16.5,0.0,40.2,11.7,10.8,0.7,0.0,2.6,0.0,0.2,2.9
Accounting & auditing,Professional & technical services,United States,Washington,Service, 250-999,2022,1.0,93.2,18.0,16.7,8.3,18.2,31.8,0.0,0.0,0.0,0.0,0.0,1.1
Food products,Manufactured Goods,United Kingdom,Wales,Manufacturing, 10-49,2022,1.0,101.0,15.4,3.9,38.7,16.9,21.7,2.8,0.0,0.7,0.0,0.7,6.5
Beverages,Retail,United Kingdom,East Sussex,Wholesale/Retail, 1-9,2023,1.0,84.9,16.4,4.0,12.1,17.9,24.9,0.5,0.0,5.0,0.0,3.8,4.1
Other/general wholesale trade,Wholesale,Netherlands The,South Holland,Wholesale/Retail, 10-49,2021,1.0,93.1,13.7,7.8,26.0,15.3,25.2,2.4,0.0,0.0,0.0,2.3,9.7
Medical & dental supplies,Retail,Australia,New South Wales,Wholesale/Retail, 10-49,2021,1.0,80.2,19.0,22.6,6.4,13.1,14.7,0.0,0.0,1.7,0.0,2.4,1.5
"Other professional, scientific & tech",Professional & technical services,Uruguay,Montevideo Department,Service, 1-9,2024,1.0,86.5,26.2,30.6,4.6,6.6,11.0,1.3,0.0,1.6,0.0,4.2,0.8
"Other professional, scientific & tech",Professional & technical services,Uruguay,Montevideo Department,Service, 1-9,2019,2.0,93.4,23.5,35.9,6.4,7.0,13.6,1.2,0.0,0.3,0.0,5.2,0.8
Equity investing - Developed Markets,Financial & insurance activities,Canada,Ontario,Service, 10-49,2024,1.0,121.1,24.0,31.5,0.7,22.4,35.9,2.9,0.0,0.6,0.0,2.8,0.0
Management consultant - for-profits,Professional & technical services,Canada,Ontario,Service, 10-49,2021,2.0,116.4,20.3,31.8,0.7,21.2,35.9,3.4,0.0,0.6,0.0,2.2,0.0
Management consultant - for-profits,Professional & technical services,Canada,Ontario,Service, 1-9,2018,3.0,97.6,23.0,26.6,6.0,12.0,27.2,0.9,0.0,0.0,0.0,1.6,2.9
Management consultant - for-profits,Professional & technical services,Canada,Ontario,Service, 1-9,2015,5.0,112.7,26.6,30.7,10.2,16.3,27.9,1.0,0.0,0.0,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,Canada,Ontario,Service, 1-9,2015,5.0,97.0,19.9,28.6,8.4,16.3,23.1,0.7,0.0,0.0,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,Canada,Ontario,Service, 1-9,2012,6.0,123.9,21.8,42.2,7.7,17.1,34.4,0.0,0.0,0.4,0.0,0.0,2.9
Fabricated metal products,Wholesale,Italy,Province of Modena,Wholesale/Retail, 10-49,2019,1.0,85.8,20.6,2.6,20.2,16.7,20.3,0.0,0.0,0.3,0.0,4.9,9.1
General stores,Retail,United States,Minnesota,Wholesale/Retail, 1-9,2025,1.0,90.6,18.0,3.6,20.1,16.2,19.9,2.9,0.0,5.8,0.0,3.7,6.1
General retail via Internet,Retail,United States,Minnesota,Wholesale/Retail, 1-9,2021,2.0,89.9,18.9,3.6,19.0,15.5,20.5,3.1,0.0,5.8,0.0,3.2,6.1
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of Bristol,Service, 1-9,2021,1.0,99.1,18.0,3.5,28.5,20.1,25.8,1.2,0.0,0.9,0.0,0.8,5.6
Advertising & market research,Professional & technical services,Costa Rica,San José Province,Service, 10-49,2022,1.0,84.7,19.4,2.6,9.6,18.0,22.7,2.1,0.0,5.0,0.0,4.9,4.1
Advertising & market research,Professional & technical services,Singapore,Central Singapore Community Development Council,Service, 10-49,2022,1.0,115.4,32.2,32.1,2.8,17.8,25.4,2.4,0.0,0.2,0.0,2.1,1.6
Advertising & market research,Professional & technical services,Singapore,Central Singapore Community Development Council,Service, 1-9,2019,2.0,131.6,39.1,43.7,4.5,12.5,23.6,2.6,0.0,0.3,0.0,4.9,0.4
Software publishing and SaaS platforms,"Information, communication & technology",France,Île-de-France,Service, 50-249,2020,1.0,80.8,12.2,9.9,10.0,16.4,27.3,0.0,0.0,0.0,0.0,4.6,3.3
Personal care products,Wholesale,Belgium,Liège,Wholesale/Retail, 10-49,2024,1.0,84.1,15.3,3.1,18.8,15.2,28.4,0.0,0.0,0.4,0.0,2.6,4.9
Deposit bank - Developed Markets,Financial & insurance activities,Canada,Ontario,Service, 50-249,2023,1.0,102.1,19.8,22.5,5.5,18.7,29.2,1.8,1.5,0.0,0.0,1.9,1.3
Deposit bank - Developed Markets,Financial & insurance activities,Canada,Ontario,Service, 50-249,2019,2.0,145.1,31.9,52.8,6.3,15.9,30.8,2.1,2.1,0.0,0.0,2.0,1.3
Deposit bank - Developed Markets,Financial & insurance activities,Canada,Ontario,Service, 50-249,2016,3.0,144.3,38.0,48.9,4.8,18.0,28.4,0.0,0.0,0.0,0.0,6.2,2.9
Textiles,Manufactured Goods,Italy,Lombardy,Manufacturing, 10-49,2021,1.0,101.2,13.1,2.9,45.2,18.2,15.9,2.5,0.0,1.0,0.0,2.0,4.1
Other financial services,Financial & insurance activities,Brazil,São Paulo,Service, 10-49,2024,1.0,120.5,24.0,20.5,11.6,22.5,36.3,1.9,0.0,0.4,0.0,2.9,3.1
Other financial services,Financial & insurance activities,Brazil,São Paulo,Service, 10-49,2021,2.0,111.8,22.4,20.5,7.3,21.9,29.6,0.9,0.0,4.1,0.0,4.7,1.8
Other financial services,Financial & insurance activities,Brazil,São Paulo,Service, 0,2018,3.0,85.8,25.0,42.5,1.3,14.0,23.9,2.6,0.0,0.3,0.0,1.7,2.9
Event catering & related,Accommodation & food service,Canada,Ontario,Service with Significant Environmental Footprint, 10-49,2023,1.0,84.8,36.4,2.2,7.8,13.3,19.4,3.0,0.0,1.3,0.0,1.0,3.3
Other info service activities,"Information, communication & technology",France,Auvergne-Rhône-Alpes,Service, 10-49,2021,1.0,83.0,12.3,3.6,10.0,17.3,36.0,1.7,0.0,0.0,0.0,1.7,3.1
Design & building,"Real estate, design & building",Kenya,Nairobi,Service with Significant Environmental Footprint, 10-49,2022,1.0,86.0,17.3,11.8,12.4,17.8,18.8,3.4,0.0,0.0,0.0,4.3,4.1
Design & building,"Real estate, design & building",Kenya,Nairobi,Service with Significant Environmental Footprint, 10-49,2019,2.0,95.5,21.6,24.4,10.6,8.4,19.7,3.7,0.0,0.8,0.0,6.0,3.7
Other/general wholesale trade,Wholesale,United States,New York,Wholesale/Retail, 50-249,2023,1.0,88.3,21.0,4.9,18.6,17.0,25.2,0.0,0.0,0.0,0.0,1.4,4.0
Other/general wholesale trade,Wholesale,United States,New York,Wholesale/Retail, 10-49,2019,2.0,81.7,16.4,4.3,14.9,16.7,25.5,2.9,0.0,0.0,0.0,0.8,1.1
Computer programming services,"Information, communication & technology",France,Pays de la Loire,Service, 10-49,2022,1.0,81.9,12.6,3.4,8.8,18.5,31.8,1.6,0.0,0.0,0.0,4.9,1.4
Food products,Wholesale,Canada,Alberta,Wholesale/Retail, 1-9,2022,1.0,96.9,28.6,4.1,20.5,15.5,22.0,3.9,0.0,0.7,0.0,1.4,6.7
Food products,Wholesale,Canada,Alberta,Wholesale/Retail, 1-9,2019,2.0,85.4,15.8,3.9,19.8,15.5,22.0,3.3,0.0,0.6,0.0,4.1,6.5
Management consultant - nonprofits,Professional & technical services,Canada,Alberta,Service, 1-9,2023,1.0,100.7,19.8,29.4,2.8,12.4,27.9,3.0,0.0,2.5,0.0,2.6,0.4
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of Westminster,Service, 50-249,2023,1.0,80.4,16.4,2.9,10.6,18.7,27.6,1.5,0.0,0.0,0.0,2.3,3.1
Beverages,Manufactured Goods,United Kingdom,Scotland,Manufacturing, 50-249,2021,1.0,80.8,16.6,1.1,31.8,14.8,12.4,1.6,0.0,1.7,0.0,0.4,7.2
Advertising & market research,Professional & technical services,Canada,Ontario,Service, 10-49,2024,1.0,131.9,18.7,17.1,9.6,22.0,58.8,2.3,0.0,0.0,0.0,3.0,4.0
Advertising & market research,Professional & technical services,Canada,Ontario,Service, 10-49,2020,2.0,101.2,14.2,19.2,9.4,20.2,33.5,1.8,0.0,0.0,0.0,2.7,3.8
Other personal services,Professional & technical services,Canada,Ontario,Service, 10-49,2017,3.0,80.4,9.5,16.2,6.4,12.0,33.7,0.4,0.0,0.9,0.0,1.3,2.9
Other recreation,"Arts, entertainment & recreation",Belgium,Walloon Brabant,Service with Significant Environmental Footprint, 50-249,2024,1.0,87.1,18.9,8.1,10.6,14.2,21.4,0.0,0.0,9.5,0.0,4.1,3.5
Employment placement & HR,Administrative & support services,United States,Maine,Service, 1-9,2023,1.0,82.5,17.5,22.1,1.0,12.9,25.6,2.5,0.0,0.9,0.0,0.0,0.0
Food products,Manufactured Goods,United States,Colorado,Manufacturing, 1-9,2025,1.0,91.6,38.1,2.7,20.3,12.9,11.2,3.0,0.6,2.1,0.0,0.4,7.8
Food products,Manufactured Goods,United States,Colorado,Manufacturing, 1-9,2020,2.0,85.0,31.8,2.7,19.3,12.9,10.5,3.8,0.6,2.0,0.0,0.9,5.6
Management consultant - for-profits,Professional & technical services,United Kingdom,City of Westminster,Service, 1-9,2022,1.0,103.5,18.6,20.1,10.4,19.5,26.7,2.8,0.0,2.7,0.0,2.3,4.8
Management consultant - for-profits,Professional & technical services,United Kingdom,City of Westminster,Service, 1-9,2019,2.0,83.2,16.2,3.4,6.4,18.3,29.8,2.4,0.0,1.9,0.0,4.3,1.3
Food products,Manufactured Goods,Brazil,São Paulo,Manufacturing, 1-9,2022,1.0,90.8,15.1,3.1,31.3,13.2,18.4,3.5,0.0,0.5,0.0,5.4,5.8
Advertising & market research,Professional & technical services,United States,North Carolina,Service, 10-49,2020,2.0,81.9,20.5,9.6,6.0,15.8,28.8,0.0,0.0,0.0,0.0,1.0,0.5
Advertising & market research,Professional & technical services,United States,North Carolina,Service, 10-49,2020,2.0,88.0,25.7,9.2,6.1,17.0,28.8,0.0,0.0,0.0,0.0,1.0,0.7
Other info service activities,"Information, communication & technology",United States,North Carolina,Service, 10-49,2016,3.0,80.2,18.4,8.9,5.2,13.3,33.7,0.7,0.0,0.0,0.0,0.0,2.9
Other info service activities,Professional & technical services,United States,North Carolina,Service, 10-49,2014,4.0,82.5,18.1,15.2,7.3,12.6,28.5,0.7,0.0,0.0,0.0,0.0,2.9
Other info service activities,Professional & technical services,United States,North Carolina,Service, 10-49,2012,5.0,80.1,21.9,11.0,4.5,9.5,31.5,0.5,0.0,0.0,0.2,0.7,2.9
Beverages,Retail,United Kingdom,City of London,Wholesale/Retail, 1-9,2022,1.0,90.7,18.0,4.0,18.9,17.6,22.9,3.1,0.0,1.3,0.0,4.5,6.4
Machinery & equipment,Manufactured Goods,Chile,O'Higgins,Manufacturing, 50-249,2023,1.0,87.8,12.0,3.8,24.4,15.6,26.9,2.0,0.0,0.2,0.0,2.5,2.4
Other transport equipment,Transportation & storage,Chile,O'Higgins,Wholesale/Retail, 1-9,2018,2.0,91.0,14.1,5.3,31.8,15.3,21.0,0.0,0.0,3.2,0.0,0.0,2.9
Solar power generation,"Energy, Heating & Cooling",Belgium,Namur,Manufacturing, 10-49,2023,1.0,95.7,12.3,3.7,42.8,13.6,19.0,2.2,0.0,0.6,0.0,1.1,6.2
"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of London,Service, 50-249,2021,1.0,89.7,18.5,2.2,10.5,17.9,39.1,0.0,0.0,0.0,0.0,1.2,2.8
Other info service activities,"Information, communication & technology",United Kingdom,United Kingdom,Service, 1-9,2023,1.0,85.6,21.2,4.7,6.4,16.3,31.6,2.8,0.0,1.1,0.0,1.0,0.6
"Other professional, scientific & tech",Professional & technical services,Canada,British Columbia,Service with Significant Environmental Footprint, 1-9,2023,1.0,84.4,15.9,4.0,8.9,16.3,22.3,3.1,0.0,12.3,0.0,1.2,4.6
Other renewable energy installation,Energy,United States,California,Service with Significant Environmental Footprint, 10-49,2023,1.0,112.5,30.0,3.5,38.9,13.5,20.1,3.6,0.0,0.6,0.0,1.9,5.8
Other renewable energy installation,Energy,United States,California,Service with Significant Environmental Footprint, 10-49,2019,2.0,104.3,30.0,3.5,38.0,6.0,20.3,3.6,0.0,0.5,0.0,2.0,4.6
Apparel,Wholesale,United Kingdom,London Borough of Islington,Wholesale/Retail, 1-9,2024,1.0,109.0,17.5,5.0,39.6,18.9,23.2,0.0,0.0,0.0,0.0,4.7,3.3
Spec design (non-building),Professional & technical services,United Kingdom,City of London,Service, 10-49,2024,1.0,91.8,21.7,7.9,6.3,21.0,25.8,2.7,0.0,5.0,0.0,1.1,1.3
Advertising & market research,Professional & technical services,United Kingdom,Devon,Service, 10-49,2023,1.0,83.9,21.2,2.0,9.0,18.3,31.4,0.0,0.0,0.6,0.0,1.0,3.0
Residential elderly & disabled care,Human health & social work,United Kingdom,Lancashire,Service with Significant Environmental Footprint, 50-249,2023,1.0,81.2,14.4,10.8,6.9,15.2,23.4,0.0,0.0,9.4,0.0,0.8,1.2
Travel agency & related,Administrative & support services,United States,Florida,Service, 1-9,2021,1.0,88.8,28.2,12.2,3.2,16.6,18.4,3.5,0.0,2.9,0.0,3.4,0.1
Travel agency & related,Administrative & support services,United States,Florida,Service, 1-9,2018,2.0,87.3,32.7,9.5,4.1,13.0,25.7,1.2,0.0,0.0,0.0,0.7,2.9
Travel agency & related,Administrative & support services,United States,Florida,Service, 1-9,2016,3.0,83.0,30.5,9.0,5.7,13.8,22.8,1.2,0.0,0.0,0.0,0.0,2.9
Travel agency & related,Administrative & support services,United States,Florida,Service, 1-9,2013,4.0,91.4,27.6,15.2,4.9,15.8,24.6,1.8,0.0,0.4,0.8,0.0,2.9
Advertising & market research,Professional & technical services,United States,New Mexico,Service, 10-49,2023,1.0,82.9,17.2,8.0,6.8,18.1,28.2,0.0,0.0,2.1,0.0,2.2,0.6
Advertising & market research,Professional & technical services,United States,New Mexico,Service, 10-49,2020,2.0,85.2,19.7,17.5,4.0,9.6,29.9,0.0,0.0,1.2,0.0,2.9,0.6
Sports clubs: prof & amateur,"Arts, entertainment & recreation",Belgium,Brussels-Capital Region,Service with Significant Environmental Footprint, 50-249,2021,1.0,88.0,17.9,0.2,24.2,18.2,21.2,0.6,0.0,0.0,0.0,5.4,8.3
Apparel,Retail,United Kingdom,Oxfordshire,Wholesale/Retail, 1-9,2024,1.0,168.8,75.0,4.5,35.4,18.2,21.1,4.1,0.0,9.5,0.0,0.7,8.1
Apparel,Retail,United Kingdom,Oxfordshire,Wholesale/Retail, 1-9,2020,2.0,160.5,72.7,3.8,33.5,18.2,19.4,3.8,0.0,8.1,0.0,0.7,4.1
Food products,Wholesale,China,Guangdong,Wholesale/Retail, 1000+,2021,1.0,91.3,22.1,4.3,23.9,10.1,26.1,0.0,0.0,1.1,0.0,3.3,8.3
Equity investing - Developed Markets,Financial & insurance activities,United Kingdom,United Kingdom,Service, 1-9,2019,1.0,173.9,32.7,55.9,14.2,22.1,40.0,4.2,1.0,0.0,0.0,3.2,5.1
Beverages,Manufactured Goods,Denmark,Capital Region of Denmark,Manufacturing, 50-249,2021,1.0,98.3,27.7,3.7,25.5,18.3,17.8,1.8,0.0,0.3,0.0,3.0,7.2
Agicultural support/post-harvest,"Agriculture, forestry & fishing",Denmark,Capital Region of Denmark,Agriculture/Growers, 50-249,2019,2.0,83.3,18.9,1.8,11.8,16.0,17.6,1.9,0.0,8.9,0.0,6.2,3.2
